Episode  43500/1000000 | Mean reward (last 500): +35.19 | Win rate: 54.1% | Win rate (last 500): 56.0% | 
Episode  44000/1000000 | Mean reward (last 500): +43.82 | Win rate: 54.2% | Win rate (last 500): 58.6% | 
Episode  44500/1000000 | Mean reward (last 500): +19.87 | Win rate: 54.1% | Win rate (last 500): 53.0% | 
Episode  45000/1000000 | Mean reward (last 500): +29.47 | Win rate: 54.2% | Win rate (last 500): 55.2% | 
Episode  45500/1000000 | Mean reward (last 500): +33.66 | Win rate: 54.2% | Win rate (last 500): 55.6% | 
Episode  46000/1000000 | Mean reward (last 500): +31.12 | Win rate: 54.2% | Win rate (last 500): 55.6% | 
Episode  46500/1000000 | Mean reward (last 500): +52.18 | Win rate: 54.3% | Win rate (last 500): 60.2% | 
Episode  47000/1000000 | Mean reward (last 500): +42.88 | Win rate: 54.3% | Win rate (last 500): 57.8% | 
Episode  47500/1000000 | Mean reward (last 500): +48.90 | Win rate: 54.3% | Win rate (last 500): 59.2% | 
Episode  48000/1000000 | Mean reward (last 500): +29.28 | Win rate: 54.4% | Win rate (last 500): 55.2% | 
Episode  48500/1000000 | Mean reward (last 500): +31.69 | Win rate: 54.4% | Win rate (last 500): 55.2% | 
Episode  49000/1000000 | Mean reward (last 500): +20.41 | Win rate: 54.3% | Win rate (last 500): 53.2% | 
Episode  49500/1000000 | Mean reward (last 500): +38.94 | Win rate: 54.4% | Win rate (last 500): 57.4% | 
Episode  50000/1000000 | Mean reward (last 500): +41.14 | Win rate: 54.4% | Win rate (last 500): 57.4% | 
Episode  50500/1000000 | Mean reward (last 500): +19.44 | Win rate: 54.4% | Win rate (last 500): 53.0% | 
Episode  51000/1000000 | Mean reward (last 500): +41.73 | Win rate: 54.4% | Win rate (last 500): 56.4% | 
Episode  51500/1000000 | Mean reward (last 500): +35.38 | Win rate: 54.4% | Win rate (last 500): 56.0% | 
Episode  52000/1000000 | Mean reward (last 500): +39.64 | Win rate: 54.5% | Win rate (last 500): 57.2% | 
Episode  52500/1000000 | Mean reward (last 500): +25.96 | Win rate: 54.5% | Win rate (last 500): 54.2% | 
Episode  53000/1000000 | Mean reward (last 500): +24.62 | Win rate: 54.4% | Win rate (last 500): 53.4% | 
Episode  53500/1000000 | Mean reward (last 500): +31.91 | Win rate: 54.5% | Win rate (last 500): 55.8% | 
Episode  54000/1000000 | Mean reward (last 500): +32.43 | Win rate: 54.5% | Win rate (last 500): 56.4% | 
Episode  54500/1000000 | Mean reward (last 500): +37.48 | Win rate: 54.5% | Win rate (last 500): 57.0% | 
Episode  55000/1000000 | Mean reward (last 500): +42.73 | Win rate: 54.5% | Win rate (last 500): 58.2% | 
Episode  55500/1000000 | Mean reward (last 500): +24.14 | Win rate: 54.5% | Win rate (last 500): 53.6% | 
Episode  56000/1000000 | Mean reward (last 500): +28.19 | Win rate: 54.5% | Win rate (last 500): 54.8% | 
